DSP_1005580000422_D_A02.dcc	DSP_1005580000422_D_A03.dcc	DSP_1005580000422_D_A08.dcc	DSP_1005580000422_D_A09.dcc	DSP_1005580000422_D_A10.dcc	DSP_1005580000422_D_A11.dcc	DSP_1005580000422_D_A12.dcc	DSP_1005580000422_D_B01.dcc	DSP_1005580000422_D_B06.dcc	DSP_1005580000422_D_B07.dcc	DSP_1005580000422_D_B08.dcc	DSP_1005580000422_D_B09.dcc	DSP_1005580000422_D_B10.dcc	DSP_1005580000422_D_B11.dcc	DSP_1005580000422_D_B12.dcc	DSP_1005580000422_D_C01.dcc	DSP_1005580000422_D_C04.dcc	DSP_1005580000422_D_C05.dcc	DSP_1005580000422_D_C06.dcc	DSP_1005580000422_D_C07.dcc	DSP_1005580000422_D_C10.dcc	DSP_1005580000422_D_C11.dcc	DSP_1005580000422_D_C12.dcc	DSP_1005580000422_D_D01.dcc	DSP_1005580000422_D_D04.dcc	DSP_1005580000422_D_D05.dcc	DSP_1005580000422_D_D08.dcc	DSP_1005580000422_D_D09.dcc	DSP_1005580000422_D_D10.dcc	DSP_1005580000422_D_D11.dcc	DSP_1005580000422_D_D12.dcc	DSP_1005580000422_D_E01.dcc
Prxl2b	4	17	4	20	4	13	3	14	7	16	7	17	4	19	3	18	22	13	27	25	13	17	13	17	20	15	23	20	24	12	23	26
Prxl2c	4	15	6	18	2	15	2	26	5	24	11	21	7	12	6	10	3	8	10	11	7	5	1	7	7	6	7	13	4	5	5	16
Psap	9	33	28	76	9	38	30	51	26	77	24	105	5	42	15	23	264	262	275	259	213	290	168	313	257	262	294	517	234	191	324	473
Psapl1	2	9	4	9	5	10	7	12	3	18	5	21	7	9	2	6	2	0	1	3	2	4	5	3	1	5	0	1	2	1	1	3
Psat1	2	6	3	18	4	3	12	13	5	25	11	25	3	19	7	17	12	21	15	14	9	22	7	16	10	12	13	30	15	11	15	21
Psca	1	5	4	12	4	13	7	11	4	12	6	13	5	8	7	13	4	2	4	0	6	3	3	3	4	2	4	3	1	3	3	3
Psd	2	2	3	4	2	3	3	2	2	8	4	8	4	4	2	2	3	8	6	14	2	16	3	12	4	8	5	21	1	5	7	27
Psd2	3	13	4	19	3	5	2	14	2	12	5	18	6	8	7	12	5	6	8	9	11	16	2	5	3	8	14	16	5	9	8	13
Psd3	1	8	4	7	2	8	6	8	3	14	2	19	2	8	1	5	15	17	18	14	13	14	8	8	16	8	13	17	14	8	29	15
Psd4	1	12	4	7	6	6	2	8	7	12	7	19	7	5	6	9	2	0	0	1	3	5	1	0	1	7	2	1	0	1	5	3
Psen1	2	10	2	12	5	5	2	8	6	11	5	16	4	10	7	5	12	16	22	13	16	18	14	10	16	10	12	24	9	22	13	42
Psen2	2	7	6	11	6	6	7	10	5	11	6	16	3	6	5	11	8	5	5	4	7	8	7	5	10	3	8	9	3	1	7	9
Psenen	2	16	2	19	2	8	11	19	9	18	2	23	4	17	2	9	35	30	41	23	26	26	23	24	22	24	23	52	28	24	31	37
Psg16	3	4	2	15	4	5	0	7	3	9	2	12	2	7	2	3	6	3	1	1	2	2	1	5	5	3	4	4	5	2	2	8
Psg17	4	8	6	8	1	8	8	15	7	12	11	18	4	12	3	8	1	0	1	2	1	1	3	2	4	0	3	5	2	3	0	3
Psg18	5	3	0	5	3	2	2	5	2	2	5	5	1	6	2	5	2	1	0	3	0	1	0	0	0	3	0	3	1	1	1	4
Psg19	7	13	4	12	3	10	7	5	3	15	6	10	3	12	2	7	3	1	3	3	3	2	0	0	2	1	1	3	1	3	1	4
Psg20	5	10	5	12	7	5	5	16	5	16	3	11	2	11	3	5	1	1	4	3	1	2	2	1	1	5	1	1	0	0	2	4
Psg21	1	4	3	12	1	6	4	10	10	12	6	12	3	7	2	3	2	2	2	2	2	0	0	1	2	3	4	2	1	2	1	4
Psg25	5	6	5	25	5	7	8	10	11	16	7	22	4	10	8	14	1	2	0	5	2	3	0	0	2	6	5	5	1	3	2	4
Psg26	1	6	4	12	0	7	9	10	3	10	5	8	3	9	2	9	1	2	1	2	2	4	4	0	0	3	2	1	3	0	2	5
Psg27	2	8	3	5	2	10	3	6	8	9	4	12	3	8	0	7	1	0	1	5	1	1	1	2	8	3	2	3	1	0	4	2
Psg29	2	8	5	15	3	11	8	11	2	14	4	15	7	15	5	13	2	8	2	2	1	2	0	3	2	0	5	1	1	1	1	5
Psip1	2	17	9	14	7	12	7	16	5	11	4	23	2	15	8	15	48	51	39	38	36	48	19	30	28	30	26	58	42	49	34	69
Pskh1	0	14	9	6	2	6	4	6	0	9	5	9	9	5	3	21	1	3	0	4	0	5	1	1	3	4	2	5	1	3	5	10
Psma1	8	9	5	16	9	9	7	14	5	20	4	17	6	8	4	14	24	38	32	23	19	27	16	19	8	21	21	43	33	22	23	58
Psma2	4	12	1	11	3	5	1	8	9	19	5	15	4	7	6	12	19	22	21	22	21	22	13	19	17	13	22	42	11	13	18	39
Psma3	5	6	3	12	2	7	3	13	5	20	4	17	3	8	2	13	16	25	12	20	15	30	11	21	18	13	17	38	14	17	24	34
Psma4	1	17	5	20	6	7	12	17	9	20	3	23	1	14	4	11	36	23	36	30	23	27	19	34	18	34	14	49	32	32	35	49
Psma5	4	17	4	14	3	12	7	20	4	13	5	17	0	18	7	7	43	49	56	41	34	41	24	24	31	38	41	62	51	30	52	76
Psma6	9	10	6	20	6	4	8	16	5	22	10	26	2	9	3	7	23	29	33	27	25	35	11	18	21	15	23	50	32	26	38	48
Psma7	3	6	2	18	3	6	8	8	2	20	8	19	5	13	4	12	26	30	45	33	25	33	20	44	28	39	33	69	31	16	50	49
Psma8	2	8	7	7	4	7	11	7	3	16	4	15	5	4	4	12	4	0	2	1	8	3	2	1	0	1	2	5	3	2	2	3
Psmb1	6	12	4	18	5	11	6	10	6	26	7	19	4	13	6	9	48	48	71	46	66	60	36	37	43	37	52	78	40	56	69	89
Psmb10	6	11	6	17	7	17	4	11	7	15	8	15	3	12	8	6	2	3	3	4	0	4	2	2	5	8	3	8	4	1	5	12
Psmb11	6	11	4	7	4	8	3	13	6	13	4	14	6	13	7	9	1	4	0	2	1	2	3	0	2	0	2	3	4	3	1	5
Psmb2	3	9	14	13	1	11	6	19	8	17	2	18	4	4	4	7	40	30	47	17	35	26	28	20	40	26	47	50	38	26	51	44
Psmb4	4	11	6	17	3	5	10	15	5	12	5	27	2	17	2	19	42	59	67	57	36	48	31	45	51	46	32	68	58	45	75	95
Psmb5	4	15	6	21	5	12	7	21	16	25	8	30	8	25	9	12	16	27	31	26	20	23	10	26	13	14	25	49	23	10	31	61
Psmb7	4	11	8	19	4	15	6	24	11	15	7	16	3	12	2	17	54	55	68	44	52	60	36	44	52	34	38	82	63	44	54	64
Psmb8	5	19	7	25	3	9	7	19	9	26	4	41	5	12	5	14	3	2	3	4	4	3	3	0	3	2	2	3	1	2	5	9
Psmb9	7	9	5	12	8	10	6	20	11	14	3	22	1	17	6	12	4	1	2	2	1	4	2	2	2	4	4	1	2	0	3	5
Psmc1	3	8	13	18	4	14	7	20	8	20	7	23	4	11	7	19	39	54	44	64	46	49	29	44	39	56	47	79	49	46	46	85
Psmc2	8	12	4	13	3	11	6	18	3	20	5	16	4	14	7	8	16	14	21	20	19	25	9	13	13	13	25	31	12	17	19	30
Psmc3	3	15	10	14	4	11	5	16	9	18	3	15	6	11	2	12	57	46	54	41	35	36	17	35	31	39	35	53	43	39	44	69
Psmc3ip	3	13	6	7	5	10	7	9	3	17	5	18	6	10	5	8	3	1	2	3	3	2	6	0	1	3	5	5	1	0	2	2
Psmc4	3	8	4	9	3	4	8	10	8	10	7	9	2	12	6	9	19	26	40	44	21	30	14	21	31	28	25	54	17	22	24	46
Psmc5	8	9	4	13	4	14	7	13	6	18	3	22	3	8	4	8	61	59	46	38	44	57	31	57	39	38	52	88	59	45	56	96
Psmc6	8	11	5	12	4	11	5	16	3	17	4	25	2	22	3	9	45	49	35	54	41	73	13	35	35	40	36	75	39	68	44	67
Psmd1	4	5	8	10	3	5	4	20	4	15	4	12	1	10	5	12	15	12	13	13	12	14	5	16	14	15	19	33	11	9	22	19
Psmd10	5	11	6	10	6	8	7	13	3	21	5	19	4	9	2	11	9	5	6	8	11	4	8	3	5	5	4	14	8	7	6	10
Psmd11	2	7	1	15	6	11	6	10	1	15	6	16	6	14	6	10	9	14	13	12	16	11	5	16	6	12	9	23	10	15	7	25
Psmd12	1	6	5	12	2	6	5	9	3	10	2	11	1	10	3	7	26	29	31	18	33	35	30	30	23	26	25	54	27	16	28	48
Psmd13	7	10	1	12	5	3	5	12	5	16	1	16	7	11	1	8	23	5	22	26	16	22	15	12	14	20	10	28	12	15	24	21
Psmd14	1	14	5	16	6	6	3	15	7	18	3	14	2	13	2	8	35	39	35	34	29	42	16	28	27	26	22	43	34	32	34	44
Psmd2	7	15	4	26	6	14	7	23	4	20	4	21	6	18	8	11	56	56	65	37	46	61	40	47	47	41	47	87	65	41	73	81
Psmd3	2	8	7	11	6	6	5	10	5	9	5	15	2	12	4	8	15	25	16	16	19	33	9	29	17	25	18	46	14	23	23	35
Psmd4	3	10	4	24	6	12	8	16	1	24	7	26	6	7	6	15	54	64	54	51	36	70	25	33	39	31	35	52	61	38	46	82
Psmd5	5	11	5	15	3	5	7	7	11	8	3	22	7	18	2	9	22	27	14	27	18	20	11	13	19	21	16	44	11	24	25	45
Psmd6	0	8	4	17	8	10	7	11	5	21	5	19	4	15	3	5	19	31	20	26	23	22	19	22	31	24	21	40	30	21	23	54
Psmd7	1	13	5	24	3	8	10	21	4	22	8	27	6	10	3	12	27	22	28	21	35	29	16	22	23	23	28	55	27	19	35	47
Psmd8	3	7	4	17	6	9	3	7	10	19	3	20	1	8	2	4	33	16	36	14	23	21	16	17	29	14	33	29	26	14	27	28
Psmd9	4	10	6	18	5	9	5	8	4	22	4	18	7	6	5	10	5	11	11	11	8	3	7	4	5	6	6	8	6	8	9	10
Psme1	0	9	6	19	6	10	3	22	12	24	2	27	7	12	3	15	4	5	4	5	2	5	2	7	6	4	6	5	2	5	7	12
Psme2	3	4	4	19	0	8	13	10	7	14	7	26	1	10	1	14	5	6	5	4	5	7	1	5	2	1	2	12	3	0	6	11
Psme3	2	10	9	18	4	8	6	16	9	17	4	27	8	11	12	12	28	29	39	24	31	37	20	29	31	25	21	39	24	25	31	52
Psme4	1	9	3	23	2	8	6	12	3	16	6	20	4	13	2	16	6	18	17	12	12	11	8	19	8	12	9	34	16	8	11	20
Psmf1	3	8	3	20	1	4	8	13	7	14	4	16	2	8	6	6	21	11	8	7	8	14	9	14	5	11	11	19	7	2	15	23
Psmg1	2	9	6	14	7	5	6	12	5	12	4	15	6	5	4	8	4	8	2	2	5	1	3	1	4	5	3	8	4	3	5	10
Psmg2	0	3	9	11	3	4	5	12	8	15	3	15	7	12	6	9	5	7	17	11	6	13	4	7	10	5	8	14	7	13	4	10
Psmg3	4	12	5	13	9	6	6	9	2	12	10	16	5	10	4	6	7	6	5	7	6	5	7	8	7	5	3	12	8	8	5	17
Psmg4	4	9	4	13	6	10	5	11	8	13	7	18	2	9	6	14	4	3	2	7	4	4	3	2	2	4	5	6	2	3	4	9
Psors1c2	2	8	5	6	5	9	11	9	2	11	9	14	8	13	7	8	1	2	3	3	2	3	2	6	3	3	3	5	3	4	6	7
Pspc1	4	14	10	20	5	6	8	10	8	14	4	20	4	12	4	13	10	13	13	13	7	14	7	10	6	10	8	15	10	6	12	19
Psph	3	7	3	15	3	4	4	9	3	9	2	7	1	7	4	4	0	5	10	4	2	5	4	6	4	7	3	10	3	6	3	13
Pspn	4	7	6	13	9	5	4	14	4	15	5	15	3	16	4	11	1	2	1	3	0	1	3	3	1	2	2	4	0	1	0	5
Psrc1	2	10	7	6	7	8	6	12	3	12	8	21	4	14	0	8	1	1	2	2	4	2	1	4	1	1	4	3	0	2	2	5
Pstk	2	7	4	6	3	9	5	10	2	16	1	13	3	4	6	6	11	17	3	3	5	18	3	9	7	11	2	33	4	10	6	15
Pstpip1	4	3	4	12	6	2	5	10	1	7	2	18	3	1	4	3	1	2	3	1	1	5	1	6	3	3	4	2	1	3	6	2
Pstpip2	5	8	2	16	4	4	5	8	3	18	2	11	3	14	3	12	1	4	6	2	1	3	1	4	1	4	5	12	0	5	3	10
Ptafr	2	8	2	15	4	5	3	14	5	18	5	12	4	9	2	6	2	0	2	2	1	1	3	3	3	1	1	3	2	1	4	4
Ptar1	1	7	2	14	1	9	7	8	9	13	4	16	6	13	6	6	11	9	5	8	5	10	1	6	4	9	5	13	9	6	6	15
Ptbp1	2	3	5	15	4	12	6	13	7	8	5	13	3	7	1	7	1	6	5	9	2	2	3	5	1	4	3	5	4	6	4	15
Ptbp2	2	9	2	16	5	10	9	12	7	17	3	18	3	7	4	4	20	30	20	29	14	21	11	18	18	24	12	36	20	15	25	33
Ptbp3	5	16	6	12	4	12	6	9	6	16	5	26	2	13	7	18	2	7	7	1	1	9	1	3	7	5	4	9	3	3	2	5
Ptcd1	3	4	1	11	3	3	5	14	4	10	3	12	3	7	5	9	2	3	5	3	2	8	4	3	3	5	3	6	2	4	6	14
Ptcd2	1	9	5	7	2	4	5	17	6	13	4	13	4	11	4	11	18	24	11	14	11	18	5	15	5	11	4	24	10	11	15	26
Ptcd3	5	3	4	7	3	6	4	9	5	7	6	16	3	11	3	5	21	16	21	17	16	22	9	11	6	8	16	27	22	21	22	28
Ptch1	5	15	3	21	4	10	5	15	3	24	2	15	1	8	5	6	6	15	13	12	10	8	11	7	11	12	8	15	9	9	8	23
Ptch2	4	7	3	15	7	5	9	18	5	11	3	19	6	13	4	5	3	2	5	2	0	2	4	4	5	0	3	3	2	2	2	5
Ptchd1	9	11	12	11	6	7	10	9	4	16	2	19	4	17	7	8	13	19	13	8	10	9	4	6	7	10	7	17	11	5	11	25
Ptchd3	8	5	8	20	10	6	0	9	10	9	4	25	1	13	5	9	2	2	2	1	2	1	3	3	2	1	2	1	4	3	2	5
Ptchd4	4	8	6	12	1	6	5	5	3	15	2	12	3	9	4	3	2	2	4	1	5	3	3	8	6	7	1	17	2	7	6	5
Ptcra	3	8	3	14	1	12	3	9	3	7	7	10	3	9	5	15	3	3	3	0	4	2	1	5	2	3	3	6	3	3	1	7
Ptdss1	4	8	3	12	3	5	5	11	10	18	6	19	6	8	4	10	21	26	23	13	17	26	15	19	24	12	28	30	23	20	31	27
Ptdss2	6	14	6	12	3	6	1	13	4	11	4	26	2	16	4	9	8	13	12	17	6	14	6	12	9	11	8	24	11	14	8	21
Pten	1	13	4	18	5	10	14	17	5	21	4	29	5	17	6	10	22	10	19	13	11	17	12	21	17	19	19	34	27	17	22	34
Pter	1	1	4	7	2	6	6	6	2	7	4	12	5	13	0	8	0	0	2	2	0	3	2	0	2	4	1	2	1	0	1	1
Ptf1a	1	12	3	4	7	5	4	9	7	13	2	17	2	13	3	4	0	1	6	1	0	4	0	1	0	3	2	2	4	1	0	7
Ptgdr	3	3	4	9	4	9	7	5	5	3	1	13	2	7	2	5	2	1	1	2	1	2	0	2	1	0	2	5	2	4	0	5
Ptgdr2	1	9	7	15	4	13	10	15	4	13	6	20	3	7	5	10	3	3	2	2	1	1	4	1	2	1	2	4	3	0	1	1
Ptgds	0	2	1	10	2	2	3	8	1	7	1	14	2	5	2	3	6	22	11	26	10	37	7	19	7	64	14	48	8	7	9	51
Ptger1	6	5	4	13	3	5	2	7	7	13	2	12	5	8	2	13	1	3	0	0	3	0	0	2	2	1	1	3	1	2	3	0
Ptger2	4	13	5	10	2	7	4	5	4	5	7	8	3	14	3	6	1	0	2	2	3	2	2	1	0	1	3	5	2	1	0	4
Ptger3	0	2	1	3	3	0	5	3	2	4	0	5	1	6	1	6	1	2	1	1	0	2	2	1	1	1	1	4	2	0	3	4
Ptger4	1	5	4	5	1	4	1	8	1	10	1	11	2	3	2	4	1	0	1	0	0	2	1	1	1	1	1	0	3	2	3	1
Ptges	2	8	3	7	4	6	5	10	5	10	4	11	5	6	4	6	3	2	8	6	8	2	1	1	6	2	4	2	3	3	3	2
Ptges2	1	14	6	12	8	12	3	8	7	8	4	22	7	9	7	5	11	19	13	18	15	10	8	12	11	8	10	14	13	12	9	24
Ptges3	2	9	8	24	2	13	8	20	2	25	5	25	4	17	3	14	52	55	62	53	55	56	31	44	43	48	55	85	66	45	55	79
Ptges3l	5	1	4	13	2	3	1	12	4	12	4	7	2	9	3	8	0	2	4	1	4	5	2	5	2	5	1	0	3	3	1	6
Ptgfr	4	6	5	15	4	5	7	10	4	8	4	12	5	8	2	10	3	5	2	0	1	1	3	2	3	2	1	7	3	1	3	5
Ptgfrn	2	5	1	11	2	3	6	7	4	4	2	16	4	10	1	9	6	5	3	3	4	10	5	5	7	3	4	8	8	3	3	10
Ptgir	2	2	4	1	1	5	2	4	1	5	4	7	3	6	1	6	0	0	1	0	0	0	2	1	1	0	1	1	0	0	0	1
Ptgis	2	4	8	14	3	6	5	8	4	23	6	10	5	13	4	5	3	5	2	2	1	7	0	2	5	0	3	5	1	2	0	5
Ptgr1	1	8	4	9	3	4	2	7	6	8	1	10	1	9	2	4	2	2	4	0	0	1	0	0	0	1	2	3	3	0	3	5
Ptgr2	6	10	5	11	8	4	9	12	7	16	4	24	8	9	5	14	14	5	8	7	9	7	5	6	7	10	4	13	7	14	9	15
Ptgs1	2	8	7	6	3	8	2	11	8	20	4	12	7	11	2	19	6	2	4	3	7	4	4	2	1	6	7	4	3	3	4	8
Ptgs2	3	14	3	12	1	10	2	13	4	13	3	23	2	7	5	7	1	4	2	4	1	4	3	3	2	2	2	5	4	0	5	3
Pth	2	3	2	12	1	6	3	6	3	9	2	18	2	6	2	5	2	1	4	0	3	1	3	0	2	0	5	1	1	1	1	2
Pth1r	3	6	4	7	4	3	2	7	5	13	5	9	1	9	2	6	2	1	1	0	1	2	1	2	2	1	1	6	2	1	3	4
Pth2	4	5	0	6	7	4	3	8	2	10	5	14	3	13	3	5	1	0	1	2	1	4	2	3	2	2	2	6	2	2	1	3
Pth2r	4	8	2	22	3	2	5	6	7	10	6	10	4	16	2	13	1	2	1	1	2	0	3	1	2	1	2	1	0	3	3	5
Pthlh	4	3	4	13	2	4	11	7	4	12	2	14	5	7	5	8	2	6	3	6	2	3	2	1	3	1	3	3	3	1	5	4
Ptk2	4	12	7	14	5	13	8	24	12	23	9	25	7	21	6	10	14	5	18	17	8	14	9	9	9	11	5	14	15	12	5	31
Ptk2b	6	2	4	11	1	7	1	12	1	11	4	13	2	9	5	8	1	2	7	1	3	2	2	3	2	2	1	2	3	0	2	1
Ptk6	3	11	6	10	4	7	2	11	3	17	2	18	2	13	4	6	2	1	2	3	2	1	2	0	0	4	3	1	1	0	4	4
Ptk7	1	6	4	12	2	6	7	4	3	10	2	14	2	8	2	4	1	1	3	1	1	5	0	1	1	4	0	6	1	2	0	4
Ptma	9	28	12	56	11	20	13	51	12	58	9	58	7	21	6	33	28	38	41	43	33	41	21	22	30	22	51	56	37	24	40	81
Ptms	9	33	13	57	9	41	12	51	10	74	20	87	11	43	4	33	111	107	155	123	129	137	89	129	118	116	155	241	102	81	183	229
Ptn	2	9	7	11	5	3	9	14	4	12	5	21	2	8	4	7	42	31	36	34	26	38	21	22	24	19	37	52	47	14	36	52
Ptov1	3	14	2	12	4	6	6	19	5	17	8	28	4	5	3	18	56	45	53	35	42	47	25	37	24	28	39	67	40	32	59	64
Ptp4a1	8	6	6	15	5	6	9	19	6	27	8	26	2	10	3	6	32	34	40	40	27	41	17	27	23	36	25	56	32	25	27	45
Ptp4a2	4	7	7	17	6	12	6	27	5	20	4	13	3	6	7	7	17	20	21	17	25	28	12	16	14	17	19	33	21	18	25	43
Ptp4a3	0	9	6	10	6	8	2	13	7	9	6	12	4	13	1	7	6	8	7	6	6	8	6	12	2	4	7	13	4	8	12	12
Ptpa	2	12	3	12	5	9	3	12	7	20	8	22	3	9	4	11	14	30	19	24	28	49	11	24	20	31	14	52	20	32	28	43
Ptpdc1	8	10	11	27	2	10	2	11	6	27	9	22	9	4	3	8	9	5	7	8	7	10	7	3	5	12	9	12	6	3	9	9
Ptpmt1	5	5	2	22	6	12	3	7	2	13	0	13	6	12	2	9	4	9	8	9	9	9	8	5	7	5	6	10	4	9	8	14
Ptpn1	5	9	4	14	3	10	12	11	6	8	2	15	5	13	6	10	1	4	9	3	5	7	3	5	3	5	1	3	1	2	4	6
Ptpn11	6	11	12	19	5	12	9	16	5	15	11	24	6	18	5	11	20	39	30	23	20	33	13	15	10	16	21	39	17	23	26	42
Ptpn12	1	5	2	11	2	1	3	6	5	3	6	21	3	5	5	3	4	13	7	9	7	7	1	6	8	7	4	11	6	4	11	14
Ptpn13	6	10	12	13	2	11	5	10	2	11	11	18	14	15	8	10	1	4	4	1	0	3	0	3	5	2	1	0	1	2	1	3
Ptpn14	5	9	6	17	3	16	10	10	6	22	3	10	1	10	3	8	7	2	3	5	4	2	0	3	2	8	3	6	1	3	3	4
Ptpn18	5	4	5	11	6	8	6	10	4	13	6	13	1	11	5	11	0	0	4	3	1	7	1	1	2	2	0	0	1	3	1	3
Ptpn2	6	14	6	20	4	12	5	9	10	15	3	11	5	10	6	6	9	9	7	7	6	9	9	9	4	6	2	12	5	4	6	14
Ptpn20	0	6	7	7	2	4	6	17	5	12	5	11	4	7	1	9	1	2	2	0	2	1	1	1	3	1	1	1	2	1	0	2
Ptpn21	9	12	7	19	7	10	6	17	10	24	6	17	7	17	4	11	2	2	3	6	2	6	1	4	5	1	5	3	2	2	4	6
Ptpn22	6	2	4	18	2	8	4	12	7	10	11	21	6	14	4	11	2	3	4	5	0	5	0	4	2	5	1	2	0	3	2	4
Ptpn23	2	3	3	14	4	6	6	13	4	8	1	11	4	9	6	6	13	21	15	12	15	22	14	8	19	21	9	25	9	13	15	26
Ptpn3	1	9	2	11	3	7	11	14	5	9	7	18	1	16	1	10	16	7	12	5	5	14	10	12	11	9	10	13	12	9	11	20
Ptpn4	1	8	3	6	5	4	10	13	4	10	4	8	2	10	5	4	13	13	15	12	11	11	8	13	15	6	12	22	8	14	23	22
Ptpn5	7	13	7	18	7	7	14	16	6	27	1	26	4	14	6	8	24	35	36	28	28	46	18	35	21	31	28	54	21	21	40	62
Ptpn6	4	9	5	26	3	8	6	18	6	19	4	15	3	18	1	16	4	3	0	4	1	2	2	2	5	1	2	1	3	1	3	5
Ptpn7	5	1	5	16	5	11	9	14	3	15	8	17	4	10	4	5	0	0	2	2	1	3	3	0	2	1	5	1	0	1	1	2
Ptpn9	3	10	4	9	3	3	6	9	3	15	3	9	2	8	6	10	11	12	8	12	9	11	7	5	2	4	9	16	8	6	10	13
Ptpra	4	7	3	9	5	8	4	10	2	9	4	20	5	11	5	8	11	18	14	25	8	31	11	17	11	21	16	25	16	13	13	30
Ptprb	4	10	6	11	2	7	5	13	5	10	6	21	3	10	3	4	1	1	2	4	4	2	2	7	0	2	7	3	2	1	2	3
Ptprc	1	5	0	11	7	4	3	7	2	11	1	12	3	7	3	5	3	2	1	2	1	1	2	1	0	0	2	1	2	0	3	2
Ptprcap	3	8	6	10	2	2	6	10	5	15	1	17	5	13	7	8	4	1	1	7	3	1	1	2	2	0	2	3	5	1	2	11
Ptprd	0	9	6	6	4	4	2	8	4	9	2	11	4	7	4	8	30	38	31	28	32	38	15	38	23	35	26	45	20	26	34	54
Ptpre	7	4	6	14	2	5	6	26	4	20	6	15	4	14	9	12	2	12	2	9	6	12	3	7	2	17	3	22	2	7	4	12
Ptprf	3	12	15	41	5	22	10	35	7	36	5	54	3	30	5	27	11	18	10	11	4	15	9	12	9	11	7	20	4	6	8	23
Ptprg	3	12	3	8	4	11	5	7	11	10	5	19	3	9	3	5	10	9	13	16	9	5	8	10	8	12	6	19	4	9	10	14
Ptprh	2	2	1	5	2	5	0	1	1	7	4	10	1	1	3	1	0	1	2	2	0	1	1	3	0	1	2	2	1	2	1	2
Ptprj	2	10	6	12	0	5	2	7	8	5	4	8	1	5	3	3	7	9	8	6	11	6	2	12	12	9	12	19	5	7	6	20
Ptprk	3	8	7	8	1	4	3	12	2	9	1	14	5	7	2	4	0	5	1	5	3	11	5	6	4	5	2	8	3	3	2	9
Ptprm	5	12	3	18	8	13	9	11	3	19	6	18	5	11	4	3	2	1	3	6	4	14	2	8	3	6	3	13	4	6	9	14
Ptprn	6	12	4	8	3	8	5	7	4	13	0	13	5	13	5	9	119	91	107	69	110	113	74	76	79	77	96	191	78	73	117	141
Ptprn2	4	4	4	13	2	4	5	8	4	10	4	19	3	8	3	5	24	26	36	20	22	30	14	28	20	17	32	41	17	15	26	43
Ptpro	5	11	3	12	2	6	2	10	5	6	5	9	8	6	3	8	18	5	4	4	8	1	5	7	6	4	11	4	14	1	16	10
Ptprq	4	7	6	10	3	5	7	7	2	16	6	8	4	7	2	6	1	3	2	2	1	2	2	1	2	0	3	2	1	0	1	4
Ptprr	3	8	2	14	3	11	4	11	6	12	3	13	2	19	5	4	4	3	0	0	2	2	3	4	3	2	5	4	1	3	3	6
Ptprs	2	14	3	18	4	11	7	15	2	13	5	34	2	12	0	14	46	28	62	35	28	57	22	42	30	37	46	90	25	27	57	69
Ptprt	6	11	9	14	7	11	7	24	5	26	7	20	3	11	8	15	9	7	12	14	11	19	7	10	3	5	9	14	7	12	7	36
Ptpru	7	9	5	12	5	11	6	20	9	22	12	23	5	9	4	11	5	12	7	13	3	13	4	6	0	8	11	11	3	6	6	20
Ptprv	2	4	9	11	4	5	3	11	8	8	6	18	1	4	5	12	0	2	1	1	2	0	1	6	2	1	3	3	3	3	4	4
Ptprz1	7	15	4	12	4	7	4	17	10	16	7	21	5	12	1	11	8	6	11	10	4	9	1	9	14	3	6	19	6	2	17	13
Ptrh1	4	15	6	19	5	10	7	24	7	16	8	21	5	13	6	11	3	3	3	9	5	7	3	6	3	3	5	10	5	3	5	10
Ptrh2	2	5	4	15	3	5	1	8	3	6	5	13	3	6	2	6	8	6	7	3	5	3	4	8	9	8	0	7	8	6	4	7
Ptrhd1	3	7	3	14	6	10	5	15	6	12	3	11	8	7	3	5	3	1	3	2	1	7	1	4	5	3	4	3	4	3	0	6
Pts	7	12	9	12	4	8	11	21	8	14	6	21	2	10	6	14	16	16	15	13	6	11	7	9	10	9	8	15	5	4	8	13
Pttg1	2	9	2	20	5	12	3	15	5	23	6	13	5	13	5	4	4	9	9	9	18	6	2	6	8	2	8	12	8	7	7	16
Pttg1ip	5	5	0	15	3	8	4	15	6	11	3	26	3	7	2	5	4	4	2	6	5	7	2	6	6	5	6	4	2	8	3	9
Ptx3	1	6	4	9	5	5	4	7	4	9	8	10	4	8	5	6	1	3	3	2	3	2	0	1	4	4	2	5	5	2	3	5
Ptx4	5	10	4	14	3	12	9	16	3	15	8	20	2	9	8	9	1	1	2	3	2	0	2	2	6	1	3	5	2	3	3	3
Pudp	3	4	7	10	4	7	5	10	5	15	4	15	5	10	4	11	2	1	3	1	0	1	4	4	1	2	3	7	1	2	2	2
Puf60	2	8	5	11	3	5	4	14	3	5	4	14	3	13	3	5	4	7	6	7	8	11	5	10	5	6	6	13	1	3	8	21
Pum1	2	12	2	4	3	7	7	9	1	14	1	10	4	5	1	9	11	15	8	12	10	18	2	10	8	9	9	23	9	9	10	28
Pum2	8	16	9	22	4	20	10	19	7	28	10	46	3	22	6	12	7	15	12	30	12	23	7	13	8	30	10	34	15	25	13	48
Pum3	1	6	2	12	5	2	4	18	2	13	3	18	2	8	2	10	7	3	3	8	6	13	3	4	8	5	5	5	9	7	7	16
Pura	9	16	6	17	8	14	9	20	8	23	7	35	6	18	6	16	48	49	45	61	29	81	27	53	45	41	43	108	42	35	51	91
Purb	6	6	5	19	6	17	8	32	15	22	8	40	2	14	6	10	27	48	26	52	28	49	23	38	19	31	26	54	33	33	36	73
